medication_name,opioid_drug,antibiotic_drug,high_risk,antipsychotic_drug
PNV COMBO#47/IRON/FA #1/DHA,N,N,N,N 
PNV NO.115/IRON FUMARATE/FA,N,N,N,N 
PNV NO.118/IRON FUMARATE/FA,N,N,N,N 
PNV NO.22/IRON CBN&GLUC/FA/DSS,N,N,N,N 
"PNV NO.66/IRON,CARBONYL/FA/DHA",N,N,N,N 
PNV NO.81/IRON CBN&GLUC/FA/DSS,N,N,N,N 
PNV NO10/IRON FUM&P/FA/OMEGA-3,N,N,N,N 
PNV W-CA #40/IRON FUM/FA CMB#1,N,N,N,N 
PNV W-CA NO.37/IRON/FA/OMEGA-3,N,N,N,N 
PNV WITH CA #68/IRON/FA#1/DHA,N,N,N,N 
PNV WITH CA#74/IRON/FOLIC ACID,N,N,N,N 
"PNV WITH CA,NO.70/IRON/FA/DHA",N,N,N,N 
"PNV WITH CA,NO.72/IRON,CARB/FA",N,N,N,N 
"PNV WITH CA,NO.72/IRON/FA",N,N,N,N 
PNV#16/IRON FUM & PS/FA/OM-3,N,N,N,N 
PNV#20/IRON/FA/DS/FISH/DHA/EPA,N,N,N,N 
PNV#21/IRON PS& HEME POLYP/FA,N,N,N,N 
PNV#26/IRON POLY/FA/DHA,N,N,N,N 
PNV#67/IRON PS/FA CMB#1/DHA,N,N,N,N 
PNV106/IRON/FA/OM3/DHA/EPA,N,N,N,N 
PNV115/IRON FUMARATE/FA/DSS,N,N,N,N 
PNV117/IRON/FA/OM3/DHA/EPA,N,N,N,N 
PNV119/IRON FUMARATE/FA/DSS,N,N,N,N 
PNV2/IRON B-G SUC-P/FA/OMEGA-3,N,N,N,N 
PNV22/IRON CBN&GLUC/FA/DSS/DHA,N,N,N,N 
PNV38/IRON CBN&GLUC/FA/DSS/DHA,N,N,N,N 
PNV39/IRON FUMARATE/FA/DSS/DHA,N,N,N,N 
PNV53/IRON B-G HCL-P/FA/OMEGA3,N,N,N,N 
PNV53/IRON FUM/FA/DOCUSATE/DHA,N,N,N,N 
"PNV55/IRON BG HC,SUCC-P/FA/OM3",N,N,N,N 
PNV55/IRON FUM & BISGLY/FA,N,N,N,N 
"PNV59/IRON,CARB&FUM/FA/DSS/DHA",N,N,N,N 
PNV66/IRON FUMARATE/FA/DSS/DHA,N,N,N,N 
"PNV69/IRON,CARBONYL/FA/DSS/DHA",N,N,N,N 
"PNV72/IRON,CARB&GLU/FA/DSS/DHA",N,N,N,N 
"PNV73/IRON,CARB&GLU/FA/DSS/DHA",N,N,N,N 
"PNV76/IRON,CARB&GLU/FA/DSS/DHA",N,N,N,N 
PNV80/IRON FUMARATE/FA/DSS/DHA,N,N,N,N 
PODOFILOX,N,N,N,N 
PODOPHYLLUM RESIN,N,N,N,N 
"POLIOMYELITIS VACCINE, KILLED",N,N,N,N 
POLYETHYLENE GLYCOL 3350,N,N,N,N 
POLYMYXIN B SULF/TRIMETHOPRIM,N,N,N,N 
POLYMYXIN B SULFATE,N,N,N,N 
POMALIDOMIDE,N,N,N,N 
PONATINIB HCL,N,N,N,N 
POSACONAZOLE,N,N,N,N 
POT CHLORIDE/POT BICARB/CIT AC,N,N,N,N 
POTASSIUM ACETATE,N,N,N,N 
POTASSIUM BICARBONATE/CIT AC,N,N,N,N 
POTASSIUM CHLORIDE,N,N,N,N 
POTASSIUM CHLORIDE IN 0.9%NACL,N,N,N,N 
POTASSIUM CHLORIDE IN D5W,N,N,N,N 
POTASSIUM CHLORIDE-0.45% NACL,N,N,N,N 
POTASSIUM CHLORIDE/D5-0.2%NACL,N,N,N,N 
POTASSIUM CHLORIDE/D5-0.45NACL,N,N,N,N 
POTASSIUM CHLORIDE/D5-0.9%NACL,N,N,N,N 
POTASSIUM CITRATE,N,N,N,N 
POTASSIUM CITRATE/CITRIC ACID,N,N,N,N 
"POTASSIUM PHOS,M-BASIC-D-BASIC",N,N,N,N 
"POTASSIUM PHOSPHATE,MONOBASIC",N,N,N,N 
POVIDONE-IODINE,N,N,N,N 
PRALATREXATE,N,N,N,N 
PRAMIPEXOLE DI-HCL,N,N,N,N 
PRAMLINTIDE ACETATE,N,N,N,N 
PRASUGREL HCL,N,N,N,N 
PRAVASTATIN SODIUM,N,N,N,N 
PRAZIQUANTEL,N,N,N,N 
PRAZOSIN HCL,N,N,N,N 
PREDNICARBATE,N,N,N,N 
PREDNISOLONE,N,N,N,N 
PREDNISOLONE ACETATE,N,N,N,N 
PREDNISOLONE SOD PHOSPHATE,N,N,N,N 
PREDNISONE,N,N,N,N 
PREGABALIN,N,N,N,N 
PRENAT VIT COMB.10/IRON/FA/DHA,N,N,N,N 
PRENATAL #103/IRON FUMARATE/FA,N,N,N,N 
"PRENATAL #48/IRON CB,GLU/FA/B6",N,N,N,N 
PRENATAL #57/IRON/FA/DSS/DHA,N,N,N,N 
PRENATAL #79/IRON ASP GLY/FA#1,N,N,N,N 
PRENATAL #92/IRON/FA #8/PS-DHA,N,N,N,N 
PRENATAL NO.13/IRON PS/FA CB#1,N,N,N,N 
PRENATAL NO.25/IRON/FA #6/DHA,N,N,N,N 
PRENATAL NO.39/IRON/FA #6/DHA,N,N,N,N 
PRENATAL NO.52/IRON/FA/DHA,N,N,N,N 
PRENATAL NO.75/IRON/FOLATE #1,N,N,N,N 
PRENATAL VIT #68/IRON/FA#6/DHA,N,N,N,N 
PRENATAL VIT #69/IRON/FA#6/DHA,N,N,N,N 
"PRENATAL VIT #76/IRON,CARB/FA",N,N,N,N 
PRENATAL VIT 15/IRON CB/FA/DSS,N,N,N,N 
PRENATAL VIT 16/IRON CB/FA/DSS,N,N,N,N 
PRENATAL VIT COMB.10/IRON/FA,N,N,N,N 
PRENATAL VIT NO.112/FOLIC ACID,N,N,N,N 
PRENATAL VIT NO.114/FA/GINGER,N,N,N,N 
PRENATAL VIT NO.127/IRON/FA,N,N,N,N 
PRENATAL VIT NO.44/IRON/FA/DHA,N,N,N,N 
PRENATAL VIT NO.73/IRON/FA,N,N,N,N 
PRENATAL VIT NO.78/IRON/FA,N,N,N,N 
PRENATAL VIT NO.87/IRON/FA/DHA,N,N,N,N 
PRENATAL VIT#36/IRON/FA CMB#6,N,N,N,N 
PRENATAL VIT#65/IRON FUM&PS/FA,N,N,N,N 
PRENATAL VIT#84/IRON/FA#1/DHA,N,N,N,N 
PRENATAL VIT#86/IRON BISGLY/FA,N,N,N,N 
PRENATAL VIT/IRON FUMARATE/FA,N,N,N,N 
"PRENATAL VIT27,CALCIUM/IRON/FA",N,N,N,N 
PRENATAL VIT37/IRON/FOLIC ACID,N,N,N,N 
PRENATAL VITS #33/IRON/FA/DHA,N,N,N,N 
PRENATAL56/IRON/FOLIC ACID/DHA,N,N,N,N 
PRIMAQUINE PHOSPHATE,N,N,N,N 
PRIMIDONE,N,N,N,N 
PROBENECID,N,N,N,N 
PROCARBAZINE HCL,N,N,N,N 
PROCHLORPERAZINE,N,N,N,N 
PROCHLORPERAZINE EDISYLATE,N,N,N,N 
PROCHLORPERAZINE MALEATE,N,N,N,N 
PROGESTERONE,N,N,N,N 
"PROGESTERONE,MICRONIZED",N,N,N,N 
PROMETHAZINE HCL,N,N,Y,N 
PROMETHAZINE HCL/CODEINE,N,N,Y,N 
PROMETHAZINE/DEXTROMETHORPHAN,N,N,Y,N 
PROMETHAZINE/PHENYLEPH/CODEINE,N,N,Y,N 
PROPAFENONE HCL,N,N,N,N 
PROPANTHELINE BROMIDE,N,N,N,N 
PROPARACAINE HCL,N,N,N,N 
PROPRANOLOL HCL,N,N,N,N 
PROPRANOLOL/HYDROCHLOROTHIAZID,N,N,N,N 
PROPYLTHIOURACIL,N,N,N,N 
PROTRIPTYLINE HCL,N,N,N,N 
PSEUDOEPHEDRINE HCL/ACRIVAS,N,N,N,N 
PV W-O CAL/IRON PS CPLX/FA,N,N,N,N 
PYRAZINAMIDE,N,N,N,N 
PYRIDOSTIGMINE BROMIDE,N,N,N,N 
PYRIMETHAMINE,N,N,N,N 
QUETIAPINE FUMARATE,N,N,N,Y 
QUINAPRIL HCL,N,N,N,N 
QUINAPRIL/HYDROCHLOROTHIAZIDE,N,N,N,N 
QUINIDINE GLUCONATE,N,N,N,N 
QUINIDINE SULFATE,N,N,N,N 
QUININE SULFATE,N,N,N,N 
QUINUPRISTIN/DALFOPRISTIN,N,Y,N,N 
RABEPRAZOLE SODIUM,N,N,N,N 
"RABIES VACC, HUMAN DIPLOID/PF",N,N,N,N 
RABIES VACCINE (PCEC)/PF,N,N,N,N 
RALOXIFENE HCL,N,N,N,N 
RALTEGRAVIR POTASSIUM,N,N,N,N 
RAMELTEON,N,N,N,N 
RAMIPRIL,N,N,N,N 
RAMUCIRUMAB,N,N,N,N 
RANIBIZUMAB,N,N,N,N 
RANITIDINE HCL,N,N,N,N 
RANOLAZINE,N,N,N,N 
RASAGILINE MESYLATE,N,N,N,N 
REGORAFENIB,N,N,N,N 
REPAGLINIDE,N,N,N,N 
REPAGLINIDE/METFORMIN HCL,N,N,N,N 
RESERPINE,N,N,Y,N 
RETAPAMULIN,N,N,N,N 
RHO(D) IMMUNE GLOBULIN,N,N,N,N 
RIBAVIRIN,N,N,N,N 
RIFABUTIN,N,N,N,N 
RIFAMPIN,N,N,N,N 
RIFAMPIN/ISONIAZID,N,N,N,N 
RIFAPENTINE,N,N,N,N 
RIFAXIMIN,N,Y,N,N 
RILONACEPT,N,N,N,N 
RILPIVIRINE HCL,N,N,N,N 
RILUZOLE,N,N,N,N 
RIMABOTULINUMTOXINB,N,N,N,N 
RIMANTADINE HCL,N,N,N,N 
RIMEXOLONE,N,N,N,N 
RINGERS SOLUTION,N,N,N,N 
"RINGERS SOLUTION,LACTATED",N,N,N,N 
RIOCIGUAT,N,N,N,N 
RISEDRONATE SODIUM,N,N,N,N 
RISPERIDONE,N,N,N,Y 
RISPERIDONE MICROSPHERES,N,N,N,Y 
RITONAVIR,N,N,N,N 
RITUXIMAB,N,N,N,N 
RIVAROXABAN,N,N,N,N 
RIVASTIGMINE,N,N,N,N 
RIVASTIGMINE TARTRATE,N,N,N,N 
RIZATRIPTAN BENZOATE,N,N,N,N 
ROFLUMILAST,N,N,N,N 
ROLAPITANT HYDROCHLORIDE,N,N,N,N 
ROMIDEPSIN,N,N,N,N 
ROMIPLOSTIM,N,N,N,N 
ROPINIROLE HCL,N,N,N,N 
ROPIVACAINE HCL/PF,N,N,N,N 
ROSIGLITAZONE MALEATE,N,N,N,N 
ROSIGLITAZONE/GLIMEPIRIDE,N,N,N,N 
ROSIGLITAZONE/METFORMIN HCL,N,N,N,N 
ROSUVASTATIN CALCIUM,N,N,N,N 
ROTIGOTINE,N,N,N,N 
RUFINAMIDE,N,N,N,N 
RUXOLITINIB PHOSPHATE,N,N,N,N 
SACROSIDASE,N,N,N,N 
SACUBITRIL/VALSARTAN,N,N,N,N 
SALICYLIC ACID,N,N,N,N 
SALICYLIC ACID/CERAMIDE CMB #1,N,N,N,N 
SALMETEROL XINAFOATE,N,N,N,N 
SALSALATE,N,N,N,N 
SAPROPTERIN DIHYDROCHLORIDE,N,N,N,N 
SAQUINAVIR MESYLATE,N,N,N,N 
SARGRAMOSTIM,N,N,N,N 
SAXAGLIPTIN HCL,N,N,N,N 
SAXAGLIPTIN HCL/METFORMIN HCL,N,N,N,N 
SCOPOLAMINE,N,N,N,N 
SECOBARBITAL SODIUM,N,N,Y,N 
SECUKINUMAB,N,N,N,N 
SELEGILINE,N,N,N,N 
SELEGILINE HCL,N,N,N,N 
SELENIUM SULFIDE,N,N,N,N 
SERTACONAZOLE NITRATE,N,N,N,N 
SERTRALINE HCL,N,N,N,N 
SEVELAMER CARBONATE,N,N,N,N 
SEVELAMER HCL,N,N,N,N 
SILDENAFIL CITRATE,N,N,N,N 
SILODOSIN,N,N,N,N 
SILTUXIMAB,N,N,N,N 
SILVER NITRATE,N,N,N,N 
SILVER NITRATE APPLICATOR,N,N,N,N 
SILVER SULFADIAZINE,N,N,N,N 
SIMEPREVIR SODIUM,N,N,N,N 
SIMVASTATIN,N,N,N,N 
SINECATECHINS,N,N,N,N 
SIROLIMUS,N,N,N,N 
SITAGLIPTIN PHOS/METFORMIN HCL,N,N,N,N 
SITAGLIPTIN PHOSPHATE,N,N,N,N 
SOD PICOSULF/MAG OX/CITRIC AC,N,N,N,N 
SOD/POT/K CIT/SOD CIT/CIT ACID,N,N,N,N 
SODIUM ACETATE,N,N,N,N 
SODIUM BICARBONATE,N,N,N,N 
SODIUM CHLORIDE,N,N,N,N 
SODIUM CHLORIDE 0.45 %,N,N,N,N 
SODIUM CHLORIDE 3 %,N,N,N,N 
SODIUM CHLORIDE 5 %,N,N,N,N 
SODIUM CHLORIDE FOR INHALATION,N,N,N,N 
SODIUM CHLORIDE IRRIG SOLUTION,N,N,N,N 
SODIUM CHLORIDE/NAHCO3/KCL/PEG,N,N,N,N 
SODIUM FLUORIDE,N,N,N,N 
SODIUM FLUORIDE/POTASSIUM NIT,N,N,N,N 
SODIUM OXYBATE,N,N,N,N 
SODIUM PHENYLBUTYRATE,N,N,N,N 
"SODIUM PHOS,M-BASIC-D-BASIC",N,N,N,N 
SODIUM POLYSTYRENE SULFONATE,N,N,N,N 
SODIUM THIOSULFATE,N,N,N,N 
"SODIUM,POTASSIUM,&MAG SULFATES",N,N,N,N 
SODIUM/K+/MAG/CA/CHLOR/ACETATE,N,N,N,N 
SOFOSBUVIR,N,N,N,N 
SOLIFENACIN SUCCINATE,N,N,N,N 
SOMATROPIN,N,N,N,N 
SONIDEGIB PHOSPHATE,N,N,N,N 
SORAFENIB TOSYLATE,N,N,N,N 
SOTALOL HCL,N,N,N,N 
SPINOSAD,N,N,N,N 
SPIRONOLACT/HYDROCHLOROTHIAZID,N,N,N,N 
SPIRONOLACTONE,N,N,N,N 
STANNOUS FLUORIDE,N,N,N,N 
STAVUDINE,N,N,N,N 
STREPTOMYCIN SULFATE,N,Y,N,N 
"SUB-Q INSULIN DEVICE, 20 UNIT",N,N,N,N 
"SUB-Q INSULIN DEVICE, 30 UNIT",N,N,N,N 
"SUB-Q INSULIN DEVICE, 40 UNIT",N,N,N,N 
SUCCIMER,N,N,N,N 
SUCRALFATE,N,N,N,N 
SUCROFERRIC OXYHYDROXIDE,N,N,N,N 
SULCONAZOLE NITRATE,N,N,N,N 
SULFACETAMIDE SOD/SULFUR/UREA,N,N,N,N 
SULFACETAMIDE SODIUM,N,N,N,N 
SULFACETAMIDE SODIUM/SULFUR,N,N,N,N 
SULFACETAMIDE/PREDNISOLONE SP,N,N,N,N 
SULFACETM NA/PREDNISOL AC,N,N,N,N 
SULFADIAZINE,N,Y,N,N 
SULFAMETHOXAZOLE/TRIMETHOPRIM,N,Y,N,N 
SULFANILAMIDE,N,N,N,N 
SULFASALAZINE,N,N,N,N 
SULINDAC,N,N,N,N 
SUMATRIPTAN,N,N,N,N 
SUMATRIPTAN SUCC/NAPROXEN SOD,N,N,N,N 
SUMATRIPTAN SUCCINATE,N,N,N,N 
SUNITINIB MALATE,N,N,N,N 
SUVOREXANT,N,N,N,N 
"SYR W-NDL,INS 0.3 ML HALF MARK",N,N,N,N 
"SYR,NDL,INSULIN,1ML-SHARPS BIN",N,N,N,N 
"SYR-ND,INS,0.3/CONTAINER,EMPTY",N,N,N,N 
"SYR-ND,INS,0.5/CONTAINER,EMPTY",N,N,N,N 
"SYRING W-NDL,DISP,INSUL,0.3 ML",N,N,N,N 
"SYRING W-NDL,DISP,INSUL,0.5 ML",N,N,N,N 
"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
"SYRINGE W-NDL, DISP,INSUL,2 ML",N,N,N,N 
"SYRINGE W-NDL, DISP., INSULIN",N,N,N,N 
"SYRINGE W-O NEEDL,INSULIN,1 ML",N,N,N,N 
"SYRINGE,NEEDLE,INSULN,SAFE,1ML",N,N,N,N 
"SYRINGE,NEEDLE,INSULN,SF 0.5ML",N,N,N,N 
"SYRINGE,SAFETY WITH NEEDLE,1ML",N,N,N,N 
TACROLIMUS,N,N,N,N 
TADALAFIL,N,N,N,N 
TAFLUPROST/PF,N,N,N,N 
TALIGLUCERASE ALFA,N,N,N,N 
TAMOXIFEN CITRATE,N,N,N,N 
TAMSULOSIN HCL,N,N,N,N 
TAPENTADOL HCL,Y,N,N,N 
TASIMELTEON,N,N,N,N 
TAVABOROLE,N,N,N,N 
TAZAROTENE,N,N,N,N 
TBO-FILGRASTIM,N,N,N,N 
TEDIZOLID PHOSPHATE,N,Y,N,N 
TEDUGLUTIDE,N,N,N,N 
TELAVANCIN HCL,N,Y,N,N 
TELBIVUDINE,N,N,N,N 
TELITHROMYCIN,N,Y,N,N 
TELMISARTAN,N,N,N,N 
TELMISARTAN/AMLODIPINE,N,N,N,N 
TELMISARTAN/HYDROCHLOROTHIAZID,N,N,N,N 
TEMAZEPAM,N,N,N,N 
TEMSIROLIMUS,N,N,N,N 
TENOFOVIR DISOPROXIL FUMARATE,N,N,N,N 
TERAZOSIN HCL,N,N,N,N 
TERBINAFINE HCL,N,N,N,N 
TERBUTALINE SULFATE,N,N,N,N 
TERCONAZOLE,N,N,N,N 
TERIFLUNOMIDE,N,N,N,N 
TERIPARATIDE,N,N,N,N 
TESAMORELIN ACETATE,N,N,N,N 
TESTOSTERONE,N,N,N,N 
TESTOSTERONE CYPIONATE,N,N,N,N 
TESTOSTERONE ENANTHATE,N,N,N,N 
TESTOSTERONE UNDECANOATE,N,N,N,N 
"TETANUS & DIPHTHERIA TOX,ADULT",N,N,N,N 
TETANUS AND DIPHTHERIA TOX/PF,N,N,N,N 
"TETANUS TOXOID, ADSORBED/PF",N,N,N,N 
"TETANUS,DIPHTHERIA TOXD PED/PF",N,N,N,N 
TETRABENAZINE,N,N,N,N 
TETRACAINE HCL,N,N,N,N 
TETRACAINE HCL/PF,N,N,N,N 
TETRACYCLINE HCL,N,Y,N,N 
TETRAHYDROZOLINE HCL,N,N,N,N 
THALIDOMIDE,N,N,N,N 
THEOPHYLLINE ANHYDROUS,N,N,N,N 
THIOGUANINE,N,N,N,N 
THIORIDAZINE HCL,N,N,Y,Y 
THIOTHIXENE,N,N,N,Y 
"THYROID,PORK",N,N,Y,N 
TIAGABINE HCL,N,N,N,N 
TICAGRELOR,N,N,N,N 
TICARCILLIN/K CLAVULANATE,N,Y,N,N 
TICLOPIDINE HCL,N,N,Y,N 
TIGECYCLINE,N,Y,N,N 
TIMOLOL,N,N,N,N 
TIMOLOL MALEATE,N,N,N,N 
TIMOLOL MALEATE/PF,N,N,N,N 
TINIDAZOLE,N,N,N,N 
TIOPRONIN,N,N,N,N 
TIOTROPIUM BR/OLODATEROL HCL,N,N,N,N 
TIOTROPIUM BROMIDE,N,N,N,N 
TIPRANAVIR,N,N,N,N 
TIZANIDINE HCL,N,N,N,N 
TOBRAMYCIN,N,N,N,N 
TOBRAMYCIN IN 0.225% NACL,N,N,N,N 
TOBRAMYCIN SULFATE,N,Y,N,N 
TOBRAMYCIN/DEXAMETHASONE,N,N,N,N 
TOBRAMYCIN/LOTEPRED ETAB,N,N,N,N 
TOCILIZUMAB,N,N,N,N 
TOFACITINIB CITRATE,N,N,N,N 
TOLAZAMIDE,N,N,N,N 
TOLBUTAMIDE,N,N,N,N 
TOLCAPONE,N,N,N,N 
TOLMETIN SODIUM,N,N,N,N 
TOLTERODINE TARTRATE,N,N,N,N 
TOLVAPTAN,N,N,N,N 
TOPIRAMATE,N,N,N,N 
TOPOTECAN HCL,N,N,N,N 
TOREMIFENE CITRATE,N,N,N,N 
TORSEMIDE,N,N,N,N 
TRAMADOL HCL,Y,N,N,N 
TRAMADOL HCL/ACETAMINOPHEN,Y,N,N,N 
TRAMETINIB DIMETHYL SULFOXIDE,N,N,N,N 
TRANDOLAPRIL,N,N,N,N 
TRANDOLAPRIL/VERAPAMIL HCL,N,N,N,N 
TRANEXAMIC ACID,N,N,N,N 
TRANYLCYPROMINE SULFATE,N,N,N,N 
TRASTUZUMAB,N,N,N,N 
TRAVOPROST,N,N,N,N 
TRAVOPROST (BENZALKONIUM),N,N,N,N 
TRAZODONE HCL,N,N,N,N 
TREPROSTINIL DIOLAMINE,N,N,N,N 
TREPROSTINIL SODIUM,N,N,N,N 
TREPROSTINIL/NEB ACCESSORIES,N,N,N,N 
TRETINOIN,N,N,N,N 
TRETINOIN MICROSPHERES,N,N,N,N 
TRIAMCINOLONE ACETONIDE,N,N,N,N 
TRIAMCINOLONE ACETONIDE/PF,N,N,N,N 
TRIAMCINOLONE/DIMETH/SILICONE,N,N,N,N 
TRIAMCINOLONE/EMOLLIENT CMB#86,N,N,N,N 
TRIAMTERENE,N,N,N,N 
TRIAMTERENE/HYDROCHLOROTHIAZID,N,N,N,N 
TRIAZOLAM,N,N,N,N 
TRIENTINE HCL,N,N,N,N 
TRIFLUOPERAZINE HCL,N,N,N,Y 
TRIFLURIDINE,N,N,N,N 
TRIFLURIDINE/TIPIRACIL HCL,N,N,N,N 
TRIHEXYPHENIDYL HCL,N,N,Y,N 
TRIMETHOBENZAMIDE HCL,N,N,Y,N 
TRIMETHOPRIM,N,Y,N,N 
TRIMIPRAMINE MALEATE,N,N,Y,N 
TRIPTORELIN PAMOATE,N,N,N,N 
TROPICAMIDE,N,N,N,N 
TROSPIUM CHLORIDE,N,N,N,N 
TYPHOID VACC VI CAPSULR POLYS,N,N,N,N 
ULIPRISTAL ACETATE,N,N,N,N 
UMECLIDINIUM BRM/VILANTEROL TR,N,N,N,N 
UMECLIDINIUM BROMIDE,N,N,N,N 
UNOPROSTONE ISOPROPYL,N,N,N,N 
UREA,N,N,N,N 
URSODIOL,N,N,N,N 
USTEKINUMAB,N,N,N,N 
VALACYCLOVIR HCL,N,N,N,N 
VALGANCICLOVIR HCL,N,N,N,N 
VALPROIC ACID,N,N,N,N 
VALPROIC ACID (AS SODIUM SALT),N,N,N,N 
VALRUBICIN,N,N,N,N 
VALSARTAN,N,N,N,N 
VALSARTAN/HYDROCHLOROTHIAZIDE,N,N,N,N 
VANCOMYCIN HCL,N,Y,N,N 
VANCOMYCIN HCL/D5W,N,Y,N,N 
"VANCOMYCIN IN DEXTROSE,ISO-OSM",N,Y,N,N 
VANDETANIB,N,N,N,N 
VARDENAFIL HCL,N,N,N,N 
VARENICLINE TARTRATE,N,N,N,N 
VARICELLA VACCINE LIVE/PF,N,N,N,N 
VEDOLIZUMAB,N,N,N,N 
VELAGLUCERASE ALFA,N,N,N,N 
VEMURAFENIB,N,N,N,N 
VENLAFAXINE HCL,N,N,N,N 
VERAPAMIL HCL,N,N,N,N 
VIGABATRIN,N,N,N,N 
VILAZODONE HYDROCHLORIDE,N,N,N,N 
VINBLASTINE SULFATE,N,N,N,N 
VINCRISTINE SULFATE,N,N,N,N 
VINORELBINE TARTRATE,N,N,N,N 
VISMODEGIB,N,N,N,N 
VIT B CMPLX 3/FA/VIT C/BIOTIN,N,N,N,N 
VIT B CMPLX NO3/FA/C/BIOT/ZINC,N,N,N,N 
VORAPAXAR SULFATE,N,N,N,N 
VORICONAZOLE,N,N,N,N 
VORINOSTAT,N,N,N,N 
VORTIOXETINE HYDROBROMIDE,N,N,N,N 
WARFARIN SODIUM,N,N,N,N 
"WATER FOR IRRIGATION,STERILE",N,N,N,N 
WEED POLLEN-SHORT RAGWEED,N,N,N,N 
YELLOW FEVER VACCINE LIVE/PF,N,N,N,N 
ZAFIRLUKAST,N,N,N,N 
ZALEPLON,N,N,Y,N 
ZANAMIVIR,N,N,N,N 
ZICONOTIDE ACETATE,N,N,N,N 
ZIDOVUDINE,N,N,N,N 
ZILEUTON,N,N,N,N 
ZINC ACETATE,N,N,N,N 
ZIPRASIDONE HCL,N,N,N,Y 
ZIPRASIDONE MESYLATE,N,N,N,Y 
ZIV-AFLIBERCEPT,N,N,N,N 
ZOLEDRONIC ACID,N,N,N,N 
ZOLEDRONIC ACID/MANNITOL&WATER,N,N,N,N 
ZOLMITRIPTAN,N,N,N,N 
ZOLPIDEM TARTRATE,N,N,Y,N 
ZONISAMIDE,N,N,N,N 
ZOSTER VACCINE LIVE/PF,N,N,N,N 
